Estación:       LA MALINCHE II,  PUE
Operada por:    SMN EMAS
Longitud:       98°01'56"  Longitud: 19°08'27"  Altitud: 2748

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL    TEMPCOMB     HUMCOMB     HUMSUBS    TEMPSUBS
25/01/2018 22:00          57          94        5.43       24.10        13.6          57       736.4         0.0       130.7        16.7          43           6         9.2
25/01/2018 23:00          52         274        5.75       34.20        12.2          63       736.6         0.0       106.0        13.9          46           6         9.3
26/01/2018 00:00          42          81        5.98       27.70        10.1          72       736.9         0.0         8.3         9.9          48           6         9.6
26/01/2018 01:00          44          81        5.77       21.60         9.0          75       737.2         0.0         0.0         8.0          54           6         9.7
26/01/2018 02:00          29          82        2.49       20.50         8.4          78       738.1         0.0         0.0         7.6          60           6         9.7
26/01/2018 03:00          28          90        1.91       15.10         7.6          81       738.6         0.0         0.0         5.9          62           6         9.7
26/01/2018 04:00         355         331        1.76       10.80         6.4          86       738.8         0.0         0.0         4.9          67           6         9.7
26/01/2018 05:00          24         315        2.55       10.10         5.7          86       738.7         0.0         0.0         3.9          70           6         9.7
26/01/2018 06:00           9         235        2.97        9.40         4.0          90       738.1         0.0         0.0         2.2          73           6         9.6
26/01/2018 07:00           9         331        2.68       11.90         3.2          92       737.8         0.0         0.0         1.7          77           6         9.5
26/01/2018 08:00          27          11        2.61        8.60         3.0          93       737.6         0.0         0.0         1.2          79           6         9.4
26/01/2018 09:00          21         318        2.35       23.40         1.6          95       737.2         0.0         0.0         0.1          82           6         9.2
26/01/2018 10:00          16         235        3.03        9.40         1.2          98       737.0         0.0         0.0        -0.3          84           6         9.1
26/01/2018 11:00          25         236        3.30        9.70         0.9          99       736.9         0.0         0.0        -0.5          86           6         8.9
26/01/2018 12:00          22         232        3.40        8.60         0.8         100       737.2         0.0         0.0        -0.6          87           6         8.8
26/01/2018 13:00          17          15        2.57        6.10         0.9         100       737.4         0.0         4.3        -0.2          89           6         8.6
26/01/2018 14:00         135          49        0.73        8.60         2.8         100       737.9         0.0        21.3         2.0          92           6         8.4
